Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Prahova, Year 2017, Number of persons, 6718
Total, Total, Total, Prahova, Year 2018, Number of persons, 6534
Total, Total, Total, Prahova, Year 2019, Number of persons, 7664
Total, Total, Total, Prahova, Year 2020, Number of persons, 5510
Total, Total, Total, Prahova, Year 2021, Number of persons, 7370
Total, Total, Total, Prahova, Year 2022, Number of persons, 11095
Total, Total, Total, Prahova, Year 2023, Number of persons, 12350
Total, Total, Total, Prahova, Year 2024, Number of persons, 10919
Total, Total, Total, Teleorman, Year 2013, Number of persons, 2794
Total, Total, Total, Teleorman, Year 2014, Number of persons, 2474
Total, Total, Total, Teleorman, Year 2015, Number of persons, 2415
Total, Total, Total, Teleorman, Year 2016, Number of persons, 2500
Total, Total, Total, Teleorman, Year 2017, Number of persons, 3227
Total, Total, Total, Teleorman, Year 2018, Number of persons, 3139
Total, Total, Total, Teleorman, Year 2019, Number of persons, 3682
Total, Total, Total, Teleorman, Year 2020, Number of persons, 2647
Total, Total, Total, Teleorman, Year 2021, Number of persons, 3541
Total, Total, Total, Teleorman, Year 2022, Number of persons, 5331
Total, Total, Total, Teleorman, Year 2023, Number of persons, 6354
Total, Total, Total, Teleorman, Year 2024, Number of persons, 5618
Total, Total, Total, Ilfov, Year 2013, Number of persons, 3144
Total, Total, Total, Ilfov, Year 2014, Number of persons, 2784
Total, Total, Total, Ilfov, Year 2015, Number of persons, 2718
Total, Total, Total, Ilfov, Year 2016, Number of persons, 2813
Total, Total, Total, Ilfov, Year 2017, Number of persons, 3631
Total, Total, Total, Ilfov, Year 2018, Number of persons, 3532
Total, Total, Total, Ilfov, Year 2019, Number of persons, 4143
Total, Total, Total, Ilfov, Year 2020, Number of persons, 2978
Total, Total, Total, Ilfov, Year 2021, Number of persons, 3983
Total, Total, Total, Ilfov, Year 2022, Number of persons, 5996
Total, Total, Total, Ilfov, Year 2023, Number of persons, 6453
Total, Total, Total, Ilfov, Year 2024, Number of persons, 5705
Total, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 12794
Total, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 11326
