Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Calarasi, Year 2015, Number of persons, 14296
0- 4 years, Total, Total, Calarasi, Year 2016, Number of persons, 13927
0- 4 years, Total, Total, Calarasi, Year 2017, Number of persons, 13992
0- 4 years, Total, Total, Calarasi, Year 2018, Number of persons, 13947
0- 4 years, Total, Total, Calarasi, Year 2019, Number of persons, 14135
0- 4 years, Total, Total, Calarasi, Year 2020, Number of persons, 14143
0- 4 years, Total, Total, Calarasi, Year 2021, Number of persons, 14241
0- 4 years, Total, Total, Calarasi, Year 2022, Number of persons, 14220
0- 4 years, Total, Total, Calarasi, Year 2023, Number of persons, 13964
0- 4 years, Total, Total, Calarasi, Year 2024, Number of persons, 13308
0- 4 years, Total, Total, Dambovita, Year 2013, Number of persons, 25211
0- 4 years, Total, Total, Dambovita, Year 2014, Number of persons, 23890
0- 4 years, Total, Total, Dambovita, Year 2015, Number of persons, 22762
0- 4 years, Total, Total, Dambovita, Year 2016, Number of persons, 21621
0- 4 years, Total, Total, Dambovita, Year 2017, Number of persons, 21471
0- 4 years, Total, Total, Dambovita, Year 2018, Number of persons, 21534
0- 4 years, Total, Total, Dambovita, Year 2019, Number of persons, 21618
0- 4 years, Total, Total, Dambovita, Year 2020, Number of persons, 21762
0- 4 years, Total, Total, Dambovita, Year 2021, Number of persons, 21933
0- 4 years, Total, Total, Dambovita, Year 2022, Number of persons, 23409
0- 4 years, Total, Total, Dambovita, Year 2023, Number of persons, 22706
0- 4 years, Total, Total, Dambovita, Year 2024, Number of persons, 21451
0- 4 years, Total, Total, Giurgiu, Year 2013, Number of persons, 13864
0- 4 years, Total, Total, Giurgiu, Year 2014, Number of persons, 13206
0- 4 years, Total, Total, Giurgiu, Year 2015, Number of persons, 12607
0- 4 years, Total, Total, Giurgiu, Year 2016, Number of persons, 12264
0- 4 years, Total, Total, Giurgiu, Year 2017, Number of persons, 12030
0- 4 years, Total, Total, Giurgiu, Year 2018, Number of persons, 11959
0- 4 years, Total, Total, Giurgiu, Year 2019, Number of persons, 11896
0- 4 years, Total, Total, Giurgiu, Year 2020, Number of persons, 11897
0- 4 years, Total, Total, Giurgiu, Year 2021, Number of persons, 11737
0- 4 years, Total, Total, Giurgiu, Year 2022, Number of persons, 12473
0- 4 years, Total, Total, Giurgiu, Year 2023, Number of persons, 12090
0- 4 years, Total, Total, Giurgiu, Year 2024, Number of persons, 11512
0- 4 years, Total, Total, Ialomita, Year 2013, Number of persons, 14830
0- 4 years, Total, Total, Ialomita, Year 2014, Number of persons, 14143
0- 4 years, Total, Total, Ialomita, Year 2015, Number of persons, 13864
0- 4 years, Total, Total, Ialomita, Year 2016, Number of persons, 13585
0- 4 years, Total, Total, Ialomita, Year 2017, Number of persons, 13599
0- 4 years, Total, Total, Ialomita, Year 2018, Number of persons, 13794
0- 4 years, Total, Total, Ialomita, Year 2019, Number of persons, 13999
0- 4 years, Total, Total, Ialomita, Year 2020, Number of persons, 13945
0- 4 years, Total, Total, Ialomita, Year 2021, Number of persons, 14245
0- 4 years, Total, Total, Ialomita, Year 2022, Number of persons, 13313
0- 4 years, Total, Total, Ialomita, Year 2023, Number of persons, 13502
0- 4 years, Total, Total, Ialomita, Year 2024, Number of persons, 13071
0- 4 years, Total, Total, Prahova, Year 2013, Number of persons, 34506
0- 4 years, Total, Total, Prahova, Year 2014, Number of persons, 33138
0- 4 years, Total, Total, Prahova, Year 2015, Number of persons, 32213
0- 4 years, Total, Total, Prahova, Year 2016, Number of persons, 31790
0- 4 years, Total, Total, Prahova, Year 2017, Number of persons, 31996
0- 4 years, Total, Total, Prahova, Year 2018, Number of persons, 32284
0- 4 years, Total, Total, Prahova, Year 2019, Number of persons, 32638
0- 4 years, Total, Total, Prahova, Year 2020, Number of persons, 32369
0- 4 years, Total, Total, Prahova, Year 2021, Number of persons, 31747
0- 4 years, Total, Total, Prahova, Year 2022, Number of persons, 30603
0- 4 years, Total, Total, Prahova, Year 2023, Number of persons, 29719
0- 4 years, Total, Total, Prahova, Year 2024, Number of persons, 28165
0- 4 years, Total, Total, Teleorman, Year 2013, Number of persons, 14949
0- 4 years, Total, Total, Teleorman, Year 2014, Number of persons, 14187
0- 4 years, Total, Total, Teleorman, Year 2015, Number of persons, 13811
0- 4 years, Total, Total, Teleorman, Year 2016, Number of persons, 13431
0- 4 years, Total, Total, Teleorman, Year 2017, Number of persons, 13547
0- 4 years, Total, Total, Teleorman, Year 2018, Number of persons, 13682
