Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
85 years and over, Total, Total, Braila, Year 2016, Number of persons, 6470
85 years and over, Total, Total, Braila, Year 2017, Number of persons, 6746
85 years and over, Total, Total, Braila, Year 2018, Number of persons, 7271
85 years and over, Total, Total, Braila, Year 2019, Number of persons, 7653
85 years and over, Total, Total, Braila, Year 2020, Number of persons, 7863
85 years and over, Total, Total, Braila, Year 2021, Number of persons, 7805
85 years and over, Total, Total, Braila, Year 2022, Number of persons, 7009
85 years and over, Total, Total, Braila, Year 2023, Number of persons, 7044
85 years and over, Total, Total, Braila, Year 2024, Number of persons, 7338
85 years and over, Total, Total, Buzau, Year 2013, Number of persons, 8385
85 years and over, Total, Total, Buzau, Year 2014, Number of persons, 8944
85 years and over, Total, Total, Buzau, Year 2015, Number of persons, 9412
85 years and over, Total, Total, Buzau, Year 2016, Number of persons, 9935
85 years and over, Total, Total, Buzau, Year 2017, Number of persons, 10259
85 years and over, Total, Total, Buzau, Year 2018, Number of persons, 11040
85 years and over, Total, Total, Buzau, Year 2019, Number of persons, 11421
85 years and over, Total, Total, Buzau, Year 2020, Number of persons, 11856
85 years and over, Total, Total, Buzau, Year 2021, Number of persons, 11980
85 years and over, Total, Total, Buzau, Year 2022, Number of persons, 10450
85 years and over, Total, Total, Buzau, Year 2023, Number of persons, 10380
85 years and over, Total, Total, Buzau, Year 2024, Number of persons, 10685
85 years and over, Total, Total, Constanta, Year 2013, Number of persons, 7060
85 years and over, Total, Total, Constanta, Year 2014, Number of persons, 7663
85 years and over, Total, Total, Constanta, Year 2015, Number of persons, 8301
85 years and over, Total, Total, Constanta, Year 2016, Number of persons, 9025
85 years and over, Total, Total, Constanta, Year 2017, Number of persons, 9309
85 years and over, Total, Total, Constanta, Year 2018, Number of persons, 10036
85 years and over, Total, Total, Constanta, Year 2019, Number of persons, 10493
85 years and over, Total, Total, Constanta, Year 2020, Number of persons, 10964
85 years and over, Total, Total, Constanta, Year 2021, Number of persons, 11175
85 years and over, Total, Total, Constanta, Year 2022, Number of persons, 10453
85 years and over, Total, Total, Constanta, Year 2023, Number of persons, 10749
85 years and over, Total, Total, Constanta, Year 2024, Number of persons, 11431
85 years and over, Total, Total, Galati, Year 2013, Number of persons, 6601
85 years and over, Total, Total, Galati, Year 2014, Number of persons, 7218
85 years and over, Total, Total, Galati, Year 2015, Number of persons, 7608
85 years and over, Total, Total, Galati, Year 2016, Number of persons, 8186
85 years and over, Total, Total, Galati, Year 2017, Number of persons, 8576
85 years and over, Total, Total, Galati, Year 2018, Number of persons, 9227
85 years and over, Total, Total, Galati, Year 2019, Number of persons, 9761
85 years and over, Total, Total, Galati, Year 2020, Number of persons, 10279
85 years and over, Total, Total, Galati, Year 2021, Number of persons, 10538
85 years and over, Total, Total, Galati, Year 2022, Number of persons, 9256
85 years and over, Total, Total, Galati, Year 2023, Number of persons, 9560
85 years and over, Total, Total, Galati, Year 2024, Number of persons, 10060
85 years and over, Total, Total, Tulcea, Year 2013, Number of persons, 2361
85 years and over, Total, Total, Tulcea, Year 2014, Number of persons, 2537
85 years and over, Total, Total, Tulcea, Year 2015, Number of persons, 2678
85 years and over, Total, Total, Tulcea, Year 2016, Number of persons, 2846
85 years and over, Total, Total, Tulcea, Year 2017, Number of persons, 3048
85 years and over, Total, Total, Tulcea, Year 2018, Number of persons, 3273
85 years and over, Total, Total, Tulcea, Year 2019, Number of persons, 3474
85 years and over, Total, Total, Tulcea, Year 2020, Number of persons, 3631
85 years and over, Total, Total, Tulcea, Year 2021, Number of persons, 3735
85 years and over, Total, Total, Tulcea, Year 2022, Number of persons, 3091
85 years and over, Total, Total, Tulcea, Year 2023, Number of persons, 3121
85 years and over, Total, Total, Tulcea, Year 2024, Number of persons, 3205
85 years and over, Total, Total, Vrancea, Year 2013, Number of persons, 6328
85 years and over, Total, Total, Vrancea, Year 2014, Number of persons, 6762
85 years and over, Total, Total, Vrancea, Year 2015, Number of persons, 7188
85 years and over, Total, Total, Vrancea, Year 2016, Number of persons, 7495
85 years and over, Total, Total, Vrancea, Year 2017, Number of persons, 7710
85 years and over, Total, Total, Vrancea, Year 2018, Number of persons, 8089
85 years and over, Total, Total, Vrancea, Year 2019, Number of persons, 8292
85 years and over, Total, Total, Vrancea, Year 2020, Number of persons, 8598
85 years and over, Total, Total, Vrancea, Year 2021, Number of persons, 8644
85 years and over, Total, Total, Vrancea, Year 2022, Number of persons, 7636
85 years and over, Total, Total, Vrancea, Year 2023, Number of persons, 7703
85 years and over, Total, Total, Vrancea, Year 2024, Number of persons, 7897
85 years and over, Total, Total, Arges, Year 2013, Number of persons, 8167
85 years and over, Total, Total, Arges, Year 2014, Number of persons, 8814
85 years and over, Total, Total, Arges, Year 2015, Number of persons, 9274
85 years and over, Total, Total, Arges, Year 2016, Number of persons, 9593
85 years and over, Total, Total, Arges, Year 2017, Number of persons, 10111
85 years and over, Total, Total, Arges, Year 2018, Number of persons, 11031
85 years and over, Total, Total, Arges, Year 2019, Number of persons, 11363
85 years and over, Total, Total, Arges, Year 2020, Number of persons, 11940
85 years and over, Total, Total, Arges, Year 2021, Number of persons, 12384
85 years and over, Total, Total, Arges, Year 2022, Number of persons, 10885
85 years and over, Total, Total, Arges, Year 2023, Number of persons, 11268
85 years and over, Total, Total, Arges, Year 2024, Number of persons, 12066
85 years and over, Total, Total, Calarasi, Year 2013, Number of persons, 4619
85 years and over, Total, Total, Calarasi, Year 2014, Number of persons, 5044
85 years and over, Total, Total, Calarasi, Year 2015, Number of persons, 5321
85 years and over, Total, Total, Calarasi, Year 2016, Number of persons, 5762
85 years and over, Total, Total, Calarasi, Year 2017, Number of persons, 5796
85 years and over, Total, Total, Calarasi, Year 2018, Number of persons, 6317
85 years and over, Total, Total, Calarasi, Year 2019, Number of persons, 6583
85 years and over, Total, Total, Calarasi, Year 2020, Number of persons, 7015
85 years and over, Total, Total, Calarasi, Year 2021, Number of persons, 7007
85 years and over, Total, Total, Calarasi, Year 2022, Number of persons, 5915
85 years and over, Total, Total, Calarasi, Year 2023, Number of persons, 5983
85 years and over, Total, Total, Calarasi, Year 2024, Number of persons, 6187
85 years and over, Total, Total, Dambovita, Year 2013, Number of persons, 7066
85 years and over, Total, Total, Dambovita, Year 2014, Number of persons, 7679
85 years and over, Total, Total, Dambovita, Year 2015, Number of persons, 8135
85 years and over, Total, Total, Dambovita, Year 2016, Number of persons, 8706
85 years and over, Total, Total, Dambovita, Year 2017, Number of persons, 9010
85 years and over, Total, Total, Dambovita, Year 2018, Number of persons, 9561
85 years and over, Total, Total, Dambovita, Year 2019, Number of persons, 9725
85 years and over, Total, Total, Dambovita, Year 2020, Number of persons, 10172
85 years and over, Total, Total, Dambovita, Year 2021, Number of persons, 10335
85 years and over, Total, Total, Dambovita, Year 2022, Number of persons, 8984
85 years and over, Total, Total, Dambovita, Year 2023, Number of persons, 9173
85 years and over, Total, Total, Dambovita, Year 2024, Number of persons, 9677
85 years and over, Total, Total, Giurgiu, Year 2013, Number of persons, 5231
85 years and over, Total, Total, Giurgiu, Year 2014, Number of persons, 5596
85 years and over, Total, Total, Giurgiu, Year 2015, Number of persons, 5815
85 years and over, Total, Total, Giurgiu, Year 2016, Number of persons, 6060
85 years and over, Total, Total, Giurgiu, Year 2017, Number of persons, 6113
85 years and over, Total, Total, Giurgiu, Year 2018, Number of persons, 6540
85 years and over, Total, Total, Giurgiu, Year 2019, Number of persons, 6628
85 years and over, Total, Total, Giurgiu, Year 2020, Number of persons, 6744
85 years and over, Total, Total, Giurgiu, Year 2021, Number of persons, 6892
85 years and over, Total, Total, Giurgiu, Year 2022, Number of persons, 5855
85 years and over, Total, Total, Giurgiu, Year 2023, Number of persons, 5893
85 years and over, Total, Total, Giurgiu, Year 2024, Number of persons, 6151
85 years and over, Total, Total, Ialomita, Year 2013, Number of persons, 4023
85 years and over, Total, Total, Ialomita, Year 2014, Number of persons, 4381
85 years and over, Total, Total, Ialomita, Year 2015, Number of persons, 4698
85 years and over, Total, Total, Ialomita, Year 2016, Number of persons, 4963
85 years and over, Total, Total, Ialomita, Year 2017, Number of persons, 5054
85 years and over, Total, Total, Ialomita, Year 2018, Number of persons, 5500
85 years and over, Total, Total, Ialomita, Year 2019, Number of persons, 5611
85 years and over, Total, Total, Ialomita, Year 2020, Number of persons, 5892
85 years and over, Total, Total, Ialomita, Year 2021, Number of persons, 6028
85 years and over, Total, Total, Ialomita, Year 2022, Number of persons, 5283
85 years and over, Total, Total, Ialomita, Year 2023, Number of persons, 5308
85 years and over, Total, Total, Ialomita, Year 2024, Number of persons, 5522
85 years and over, Total, Total, Prahova, Year 2013, Number of persons, 11347
85 years and over, Total, Total, Prahova, Year 2014, Number of persons, 12298
85 years and over, Total, Total, Prahova, Year 2015, Number of persons, 13045
85 years and over, Total, Total, Prahova, Year 2016, Number of persons, 13849
85 years and over, Total, Total, Prahova, Year 2017, Number of persons, 14372
85 years and over, Total, Total, Prahova, Year 2018, Number of persons, 15486
85 years and over, Total, Total, Prahova, Year 2019, Number of persons, 16249
85 years and over, Total, Total, Prahova, Year 2020, Number of persons, 17122
85 years and over, Total, Total, Prahova, Year 2021, Number of persons, 17484
85 years and over, Total, Total, Prahova, Year 2022, Number of persons, 15525
85 years and over, Total, Total, Prahova, Year 2023, Number of persons, 15937
85 years and over, Total, Total, Prahova, Year 2024, Number of persons, 16844
85 years and over, Total, Total, Teleorman, Year 2013, Number of persons, 8081
85 years and over, Total, Total, Teleorman, Year 2014, Number of persons, 8705
85 years and over, Total, Total, Teleorman, Year 2015, Number of persons, 8993
85 years and over, Total, Total, Teleorman, Year 2016, Number of persons, 9490
85 years and over, Total, Total, Teleorman, Year 2017, Number of persons, 9531
85 years and over, Total, Total, Teleorman, Year 2018, Number of persons, 10327
85 years and over, Total, Total, Teleorman, Year 2019, Number of persons, 10518
85 years and over, Total, Total, Teleorman, Year 2020, Number of persons, 10963
85 years and over, Total, Total, Teleorman, Year 2021, Number of persons, 11165
85 years and over, Total, Total, Teleorman, Year 2022, Number of persons, 9031
85 years and over, Total, Total, Teleorman, Year 2023, Number of persons, 9298
85 years and over, Total, Total, Teleorman, Year 2024, Number of persons, 9814
85 years and over, Total, Total, Ilfov, Year 2013, Number of persons, 4489
85 years and over, Total, Total, Ilfov, Year 2014, Number of persons, 5007
85 years and over, Total, Total, Ilfov, Year 2015, Number of persons, 5395
85 years and over, Total, Total, Ilfov, Year 2016, Number of persons, 5854
85 years and over, Total, Total, Ilfov, Year 2017, Number of persons, 6054
85 years and over, Total, Total, Ilfov, Year 2018, Number of persons, 6652
85 years and over, Total, Total, Ilfov, Year 2019, Number of persons, 6905
85 years and over, Total, Total, Ilfov, Year 2020, Number of persons, 7254
85 years and over, Total, Total, Ilfov, Year 2021, Number of persons, 7526
85 years and over, Total, Total, Ilfov, Year 2022, Number of persons, 6639
85 years and over, Total, Total, Ilfov, Year 2023, Number of persons, 6908
85 years and over, Total, Total, Ilfov, Year 2024, Number of persons, 7340
85 years and over, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 30152
85 years and over, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 32222
85 years and over, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 33621
85 years and over, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 34955
85 years and over, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 35224
85 years and over, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 36292
85 years and over, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 36273
85 years and over, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 36528
85 years and over, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 36140
85 years and over, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 35560
85 years and over, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 35682
85 years and over, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 36753
85 years and over, Total, Total, Dolj, Year 2013, Number of persons, 9619
85 years and over, Total, Total, Dolj, Year 2014, Number of persons, 10253
85 years and over, Total, Total, Dolj, Year 2015, Number of persons, 10677
85 years and over, Total, Total, Dolj, Year 2016, Number of persons, 11007
